,SV_number,sample,Viral_contig,Genome_len,SV_density,lifestyle
SK44,18,SK44,NC173_NODE_1,1026780.0,17.5305323438322,uncertain temperate
SK51,21,SK51,NC173_NODE_1,1026780.0,20.4522877344709,uncertain temperate
SK56,16,SK56,NC173_NODE_1,1026780.0,15.5826954167397,uncertain temperate
A011,4,A01,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
A021,1,A02,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
A091,2,A09,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
A1071,8,A107,H46_NODE_2,636913.0,12.5605851976644,uncertain temperate
A111,2,A11,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
A131,2,A13,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
B031,2,B03,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
DC051,4,DC05,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
DC131,2,DC13,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
DC161,6,DC16,H46_NODE_2,636913.0,9.42043889824827,uncertain temperate
DC261,2,DC26,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
DC271,2,DC27,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
H011,4,H01,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
H111,6,H11,H46_NODE_2,636913.0,9.42043889824827,uncertain temperate
H131,6,H13,H46_NODE_2,636913.0,9.42043889824827,uncertain temperate
H221,2,H22,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
H271,1,H27,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
H341,3,H34,H46_NODE_2,636913.0,4.71021944912413,uncertain temperate
H461,1,H46,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
H491,4,H49,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
H541,3,H54,H46_NODE_2,636913.0,4.71021944912413,uncertain temperate
H691,3,H69,H46_NODE_2,636913.0,4.71021944912413,uncertain temperate
H731,2,H73,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
NC1501,4,NC150,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
NC1511,4,NC151,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
NC1521,1,NC152,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
NC1731,6,NC173,H46_NODE_2,636913.0,9.42043889824827,uncertain temperate
NC1831,2,NC183,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
NC2101,2,NC210,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
NC3071,9,NC307,H46_NODE_2,636913.0,14.1306583473724,uncertain temperate
NC3171,1,NC317,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
NCF0041,5,NCF004,H46_NODE_2,636913.0,7.85036574854023,uncertain temperate
NCF0261,4,NCF026,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
NCF0411,4,NCF041,H46_NODE_2,636913.0,6.28029259883218,uncertain temperate
NCF0511,1,NCF051,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
QM031,2,QM03,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
S021,2,S02,H46_NODE_2,636913.0,3.14014629941609,uncertain temperate
SK201,1,SK20,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
SK431,1,SK43,H46_NODE_2,636913.0,1.57007314970805,uncertain temperate
SK441,6,SK44,H46_NODE_2,636913.0,9.42043889824827,uncertain temperate
SK511,7,SK51,H46_NODE_2,636913.0,10.9905120479563,uncertain temperate
SK561,3,SK56,H46_NODE_2,636913.0,4.71021944912413,uncertain temperate
A012,1,A01,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
A022,5,A02,H13_NODE_1,635570.0,7.86695407272212,uncertain temperate
A092,5,A09,H13_NODE_1,635570.0,7.86695407272212,uncertain temperate
A1072,8,A107,H13_NODE_1,635570.0,12.5871265163554,uncertain temperate
A112,1,A11,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
A132,1,A13,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
A161,1,A16,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
B131,2,B13,H13_NODE_1,635570.0,3.14678162908885,uncertain temperate
DC162,5,DC16,H13_NODE_1,635570.0,7.86695407272212,uncertain temperate
DC262,6,DC26,H13_NODE_1,635570.0,9.44034488726655,uncertain temperate
DC272,4,DC27,H13_NODE_1,635570.0,6.2935632581777,uncertain temperate
H012,3,H01,H13_NODE_1,635570.0,4.72017244363327,uncertain temperate
H031,1,H03,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
H112,9,H11,H13_NODE_1,635570.0,14.1605173308998,uncertain temperate
H321,1,H32,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
H342,5,H34,H13_NODE_1,635570.0,7.86695407272212,uncertain temperate
H492,4,H49,H13_NODE_1,635570.0,6.2935632581777,uncertain temperate
H692,1,H69,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
NC1502,1,NC150,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
NC1512,1,NC151,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
NC2102,3,NC210,H13_NODE_1,635570.0,4.72017244363327,uncertain temperate
NC3072,6,NC307,H13_NODE_1,635570.0,9.44034488726655,uncertain temperate
NC3172,1,NC317,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
NCF0042,2,NCF004,H13_NODE_1,635570.0,3.14678162908885,uncertain temperate
NCF0262,3,NCF026,H13_NODE_1,635570.0,4.72017244363327,uncertain temperate
NCF0412,9,NCF041,H13_NODE_1,635570.0,14.1605173308998,uncertain temperate
S022,2,S02,H13_NODE_1,635570.0,3.14678162908885,uncertain temperate
SK141,1,SK14,H13_NODE_1,635570.0,1.57339081454442,uncertain temperate
SK432,4,SK43,H13_NODE_1,635570.0,6.2935632581777,uncertain temperate
SK442,2,SK44,H13_NODE_1,635570.0,3.14678162908885,uncertain temperate
SK512,2,SK51,H13_NODE_1,635570.0,3.14678162908885,uncertain temperate
A013,1,A01,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
A093,4,A09,H13_NODE_2,563398.0,7.09977671202241,uncertain temperate
A1073,2,A107,H13_NODE_2,563398.0,3.5498883560112,uncertain temperate
B132,1,B13,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
DC263,1,DC26,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
H113,1,H11,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
H322,1,H32,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
H343,2,H34,H13_NODE_2,563398.0,3.5498883560112,uncertain temperate
H462,3,H46,H13_NODE_2,563398.0,5.32483253401681,uncertain temperate
H542,2,H54,H13_NODE_2,563398.0,3.5498883560112,uncertain temperate
NC1522,1,NC152,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
NC2103,1,NC210,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
NCF0413,2,NCF041,H13_NODE_2,563398.0,3.5498883560112,uncertain temperate
NCF0551,1,NCF055,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
SK443,2,SK44,H13_NODE_2,563398.0,3.5498883560112,uncertain temperate
SK562,1,SK56,H13_NODE_2,563398.0,1.7749441780056,uncertain temperate
A014,3,A01,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
A023,2,A02,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
A094,6,A09,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
A1074,6,A107,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
A113,1,A11,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
A133,3,A13,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
A162,1,A16,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
B032,6,B03,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
B133,1,B13,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
DC052,2,DC05,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
DC132,4,DC13,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
DC163,8,DC16,H46_NODE_6,535889.0,14.9284646633911,uncertain temperate
DC264,16,DC26,H46_NODE_6,535889.0,29.8569293267822,uncertain temperate
DC273,5,DC27,H46_NODE_6,535889.0,9.33029041461945,uncertain temperate
H013,6,H01,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
H032,5,H03,H46_NODE_6,535889.0,9.33029041461945,uncertain temperate
H114,19,H11,H46_NODE_6,535889.0,35.4551035755539,uncertain temperate
H132,6,H13,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
H222,7,H22,H46_NODE_6,535889.0,13.0624065804672,uncertain temperate
H323,10,H32,H46_NODE_6,535889.0,18.6605808292389,uncertain temperate
H344,11,H34,H46_NODE_6,535889.0,20.5266389121628,uncertain temperate
H463,1,H46,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
H493,3,H49,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
H501,1,H50,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
H543,6,H54,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
H693,2,H69,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
H732,2,H73,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
NC1503,4,NC150,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
NC1513,2,NC151,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
NC1523,4,NC152,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
NC1732,4,NC173,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
NC1832,4,NC183,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
NC2011,1,NC201,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
NC2104,4,NC210,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
NC3073,11,NC307,H46_NODE_6,535889.0,20.5266389121628,uncertain temperate
NC3081,1,NC308,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
NC3173,4,NC317,H46_NODE_6,535889.0,7.46423233169556,uncertain temperate
NC3181,2,NC318,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
NC326,1,NC326,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
NCF0043,3,NCF004,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
NCF0263,9,NCF026,H46_NODE_6,535889.0,16.794522746315,uncertain temperate
NCF0414,8,NCF041,H46_NODE_6,535889.0,14.9284646633911,uncertain temperate
NCF0441,1,NCF044,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
NCF0552,3,NCF055,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
NN08971,1,NN0897,H46_NODE_6,535889.0,1.86605808292389,uncertain temperate
QM032,3,QM03,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
S023,2,S02,H46_NODE_6,535889.0,3.73211616584778,uncertain temperate
SK142,5,SK14,H46_NODE_6,535889.0,9.33029041461945,uncertain temperate
SK433,3,SK43,H46_NODE_6,535889.0,5.59817424877167,uncertain temperate
SK444,6,SK44,H46_NODE_6,535889.0,11.1963484975433,uncertain temperate
SK513,8,SK51,H46_NODE_6,535889.0,14.9284646633911,uncertain temperate
SK563,7,SK56,H46_NODE_6,535889.0,13.0624065804672,uncertain temperate
A015,7,A01,H63_contig_22_pilon,398991.0,17.5442553842067,uncertain temperate
A024,7,A02,H63_contig_22_pilon,398991.0,17.5442553842067,uncertain temperate
A095,36,A09,H63_contig_22_pilon,398991.0,90.2275991187771,uncertain temperate
A1075,27,A107,H63_contig_22_pilon,398991.0,67.6706993390828,uncertain temperate
B033,9,B03,H63_contig_22_pilon,398991.0,22.5568997796943,uncertain temperate
B134,1,B13,H63_contig_22_pilon,398991.0,2.50632219774381,uncertain temperate
DC053,7,DC05,H63_contig_22_pilon,398991.0,17.5442553842067,uncertain temperate
DC133,20,DC13,H63_contig_22_pilon,398991.0,50.1264439548762,uncertain temperate
DC164,43,DC16,H63_contig_22_pilon,398991.0,107.771854502984,uncertain temperate
DC274,7,DC27,H63_contig_22_pilon,398991.0,17.5442553842067,uncertain temperate
H033,17,H03,H63_contig_22_pilon,398991.0,42.6074773616447,uncertain temperate
H04,7,H04,H63_contig_22_pilon,398991.0,17.5442553842067,uncertain temperate
H115,22,H11,H63_contig_22_pilon,398991.0,55.1390883503638,uncertain temperate
H19,5,H19,H63_contig_22_pilon,398991.0,12.531610988719,uncertain temperate
H223,4,H22,H63_contig_22_pilon,398991.0,10.0252887909752,uncertain temperate
H272,1,H27,H63_contig_22_pilon,398991.0,2.50632219774381,uncertain temperate
H28,13,H28,H63_contig_22_pilon,398991.0,32.5821885706695,uncertain temperate
H345,9,H34,H63_contig_22_pilon,398991.0,22.5568997796943,uncertain temperate
H464,4,H46,H63_contig_22_pilon,398991.0,10.0252887909752,uncertain temperate
H47,5,H47,H63_contig_22_pilon,398991.0,12.531610988719,uncertain temperate
H48,19,H48,H63_contig_22_pilon,398991.0,47.6201217571324,uncertain temperate
H494,5,H49,H63_contig_22_pilon,398991.0,12.531610988719,uncertain temperate
H63,2,H63,H63_contig_22_pilon,398991.0,5.01264439548762,uncertain temperate
H65,3,H65,H63_contig_22_pilon,398991.0,7.51896659323143,uncertain temperate
NC1504,31,NC150,H63_contig_22_pilon,398991.0,77.6959881300581,uncertain temperate
NC1514,28,NC151,H63_contig_22_pilon,398991.0,70.1770215368266,uncertain temperate
NC2012,2,NC201,H63_contig_22_pilon,398991.0,5.01264439548762,uncertain temperate
NC3074,11,NC307,H63_contig_22_pilon,398991.0,27.5695441751819,uncertain temperate
NC3261,14,NC326,H63_contig_22_pilon,398991.0,35.0885107684133,uncertain temperate
NCF0044,10,NCF004,H63_contig_22_pilon,398991.0,25.0632219774381,uncertain temperate
NCF0264,5,NCF026,H63_contig_22_pilon,398991.0,12.531610988719,uncertain temperate
NCF0442,26,NCF044,H63_contig_22_pilon,398991.0,65.164377141339,uncertain temperate
NCF0512,4,NCF051,H63_contig_22_pilon,398991.0,10.0252887909752,uncertain temperate
NCF168,25,NCF168,H63_contig_22_pilon,398991.0,62.6580549435952,uncertain temperate
NN08972,12,NN0897,H63_contig_22_pilon,398991.0,30.0758663729257,uncertain temperate
QM01,26,QM01,H63_contig_22_pilon,398991.0,65.164377141339,uncertain temperate
SK02,17,SK02,H63_contig_22_pilon,398991.0,42.6074773616447,uncertain temperate
SK11,23,SK11,H63_contig_22_pilon,398991.0,57.6454105481076,uncertain temperate
SK143,6,SK14,H63_contig_22_pilon,398991.0,15.0379331864629,uncertain temperate
SK202,26,SK20,H63_contig_22_pilon,398991.0,65.164377141339,uncertain temperate
SK434,14,SK43,H63_contig_22_pilon,398991.0,35.0885107684133,uncertain temperate
SK445,10,SK44,H63_contig_22_pilon,398991.0,25.0632219774381,uncertain temperate
SK54,19,SK54,H63_contig_22_pilon,398991.0,47.6201217571324,uncertain temperate
A016,27,A01,H13_NODE_3,379341.0,71.1760658615863,uncertain temperate
A08,14,A08,H13_NODE_3,379341.0,36.9061082245262,uncertain temperate
A096,32,A09,H13_NODE_3,379341.0,84.3568187989171,uncertain temperate
A1076,28,A107,H13_NODE_3,379341.0,73.8122164490524,uncertain temperate
A114,41,A11,H13_NODE_3,379341.0,108.082174086113,uncertain temperate
A134,52,A13,H13_NODE_3,379341.0,137.07983054824,uncertain temperate
A163,7,A16,H13_NODE_3,379341.0,18.4530541122631,uncertain temperate
B034,32,B03,H13_NODE_3,379341.0,84.3568187989171,uncertain temperate
B135,21,B13,H13_NODE_3,379341.0,55.3591623367893,uncertain temperate
DC054,14,DC05,H13_NODE_3,379341.0,36.9061082245262,uncertain temperate
DC134,52,DC13,H13_NODE_3,379341.0,137.07983054824,uncertain temperate
DC165,63,DC16,H13_NODE_3,379341.0,166.077487010368,uncertain temperate
DC265,74,DC26,H13_NODE_3,379341.0,195.075143472496,uncertain temperate
DC275,87,DC27,H13_NODE_3,379341.0,229.345101109556,uncertain temperate
H014,53,H01,H13_NODE_3,379341.0,139.715981135706,uncertain temperate
H034,64,H03,H13_NODE_3,379341.0,168.713637597834,uncertain temperate
H041,81,H04,H13_NODE_3,379341.0,213.528197584759,uncertain temperate
H116,40,H11,H13_NODE_3,379341.0,105.446023498646,uncertain temperate
H133,4,H13,H13_NODE_3,379341.0,10.5446023498646,uncertain temperate
H191,70,H19,H13_NODE_3,379341.0,184.530541122631,uncertain temperate
H24,3,H24,H13_NODE_3,379341.0,7.90845176239848,uncertain temperate
H273,44,H27,H13_NODE_3,379341.0,115.990625848511,uncertain temperate
H281,37,H28,H13_NODE_3,379341.0,97.5375717362479,uncertain temperate
H31,47,H31,H13_NODE_3,379341.0,123.899077610909,uncertain temperate
H346,71,H34,H13_NODE_3,379341.0,187.166691710097,uncertain temperate
H465,31,H46,H13_NODE_3,379341.0,81.7206682114509,uncertain temperate
H471,17,H47,H13_NODE_3,379341.0,44.8145599869247,uncertain temperate
H481,59,H48,H13_NODE_3,379341.0,155.532884660503,uncertain temperate
H495,15,H49,H13_NODE_3,379341.0,39.5422588119924,uncertain temperate
H651,48,H65,H13_NODE_3,379341.0,126.535228198376,uncertain temperate
H694,38,H69,H13_NODE_3,379341.0,100.173722323714,uncertain temperate
NC1505,80,NC150,H13_NODE_3,379341.0,210.892046997293,uncertain temperate
NC1515,84,NC151,H13_NODE_3,379341.0,221.436649347157,uncertain temperate
NC1524,13,NC152,H13_NODE_3,379341.0,34.2699576370601,uncertain temperate
NC3075,37,NC307,H13_NODE_3,379341.0,97.5375717362479,uncertain temperate
NC3174,49,NC317,H13_NODE_3,379341.0,129.171378785842,uncertain temperate
NC3182,24,NC318,H13_NODE_3,379341.0,63.2676140991878,uncertain temperate
NC3262,65,NC326,H13_NODE_3,379341.0,171.3497881853,uncertain temperate
NCF0045,65,NCF004,H13_NODE_3,379341.0,171.3497881853,uncertain temperate
NCF0265,21,NCF026,H13_NODE_3,379341.0,55.3591623367893,uncertain temperate
NCF0415,50,NCF041,H13_NODE_3,379341.0,131.807529373308,uncertain temperate
NCF0443,82,NCF044,H13_NODE_3,379341.0,216.164348172225,uncertain temperate
NCF0513,28,NCF051,H13_NODE_3,379341.0,73.8122164490524,uncertain temperate
NCF0553,4,NCF055,H13_NODE_3,379341.0,10.5446023498646,uncertain temperate
NCF106,43,NCF106,H13_NODE_3,379341.0,113.354475261045,uncertain temperate
NCF1681,63,NCF168,H13_NODE_3,379341.0,166.077487010368,uncertain temperate
NCF171,35,NCF171,H13_NODE_3,379341.0,92.2652705613155,uncertain temperate
NN08973,20,NN0897,H13_NODE_3,379341.0,52.7230117493232,uncertain temperate
QM033,3,QM03,H13_NODE_3,379341.0,7.90845176239848,uncertain temperate
S024,37,S02,H13_NODE_3,379341.0,97.5375717362479,uncertain temperate
SK111,5,SK11,H13_NODE_3,379341.0,13.1807529373308,uncertain temperate
SK121,7,SK12,H13_NODE_3,379341.0,18.4530541122631,uncertain temperate
SK144,57,SK14,H13_NODE_3,379341.0,150.260583485571,uncertain temperate
SK203,81,SK20,H13_NODE_3,379341.0,213.528197584759,uncertain temperate
SK435,57,SK43,H13_NODE_3,379341.0,150.260583485571,uncertain temperate
SK446,73,SK44,H13_NODE_3,379341.0,192.43899288503,uncertain temperate
SK514,33,SK51,H13_NODE_3,379341.0,86.9929693863832,uncertain temperate
SK541,44,SK54,H13_NODE_3,379341.0,115.990625848511,uncertain temperate
A097,2,A09,H22_NODE_2,374787.0,5.33636438830589,uncertain temperate
A1077,5,A107,H22_NODE_2,374787.0,13.3409109707647,uncertain temperate
A135,1,A13,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
DC166,1,DC16,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
DC266,4,DC26,H22_NODE_2,374787.0,10.6727287766118,uncertain temperate
H015,2,H01,H22_NODE_2,374787.0,5.33636438830589,uncertain temperate
H035,1,H03,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
H117,1,H11,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
H134,1,H13,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
H274,1,H27,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
H496,3,H49,H22_NODE_2,374787.0,8.00454658245884,uncertain temperate
H695,1,H69,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
NC1506,1,NC150,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
NC1516,2,NC151,H22_NODE_2,374787.0,5.33636438830589,uncertain temperate
NC1525,3,NC152,H22_NODE_2,374787.0,8.00454658245884,uncertain temperate
NC1833,1,NC183,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
NC2105,3,NC210,H22_NODE_2,374787.0,8.00454658245884,uncertain temperate
NC3076,1,NC307,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
NCF0046,1,NCF004,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
SK122,6,SK12,H22_NODE_2,374787.0,16.0090931649177,uncertain temperate
SK204,1,SK20,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
SK436,2,SK43,H22_NODE_2,374787.0,5.33636438830589,uncertain temperate
SK515,1,SK51,H22_NODE_2,374787.0,2.66818219415295,uncertain temperate
SK564,2,SK56,H22_NODE_2,374787.0,5.33636438830589,uncertain temperate
A017,1,A01,H46_NODE_9,340276.0,2.93879086388696,uncertain temperate
A025,2,A02,H46_NODE_9,340276.0,5.87758172777392,uncertain temperate
A098,8,A09,H46_NODE_9,340276.0,23.5103269110957,uncertain temperate
A1078,4,A107,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
A115,7,A11,H46_NODE_9,340276.0,20.5715360472087,uncertain temperate
A136,1,A13,H46_NODE_9,340276.0,2.93879086388696,uncertain temperate
DC135,1,DC13,H46_NODE_9,340276.0,2.93879086388696,uncertain temperate
DC167,5,DC16,H46_NODE_9,340276.0,14.6939543194348,uncertain temperate
DC267,5,DC26,H46_NODE_9,340276.0,14.6939543194348,uncertain temperate
DC276,3,DC27,H46_NODE_9,340276.0,8.81637259166089,uncertain temperate
H016,7,H01,H46_NODE_9,340276.0,20.5715360472087,uncertain temperate
H036,3,H03,H46_NODE_9,340276.0,8.81637259166089,uncertain temperate
H118,3,H11,H46_NODE_9,340276.0,8.81637259166089,uncertain temperate
H135,3,H13,H46_NODE_9,340276.0,8.81637259166089,uncertain temperate
H224,3,H22,H46_NODE_9,340276.0,8.81637259166089,uncertain temperate
H324,4,H32,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
H347,4,H34,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
H466,1,H46,H46_NODE_9,340276.0,2.93879086388696,uncertain temperate
H497,4,H49,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
H544,1,H54,H46_NODE_9,340276.0,2.93879086388696,uncertain temperate
H696,4,H69,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
H733,1,H73,H46_NODE_9,340276.0,2.93879086388696,uncertain temperate
NC1507,4,NC150,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
NC1517,4,NC151,H46_NODE_9,340276.0,11.7551634555478,uncertain temperate
NC1526,6,NC152,H46_NODE_9,340276.0,17.6327451833218,uncertain temperate
